Country,Region,RES_COST_PER_AREA,NONRES_COST_PER_AREA,COMBINED_COST_PER_AREA
CAN,Newfoundland and Labrador,8467.320475281664,3446.728815500591,6095.217616217583
CAN,Northwest Territories,7296.7802564834865,5660.175343267185,6513.762241415855
CAN,Nunavut,4768.369010151482,4249.414455861122,4585.213091784021
CAN,Quebec,6309.000053081928,3719.044943044551,5321.868175778767
CAN,Yukon,6997.135943519652,3645.677285858141,5441.117127450577
FIN,Lapland,2136.979359968593,2612.464100735312,2323.287898115373
NOR,Finnmark,1991.8804412718746,3939.0046725349266,2565.9504753605197
NOR,Nordland,1973.7822933290156,3761.786582647621,2343.0251061676486
NOR,Troms,1975.3945663052764,3798.6475656459093,2326.136481234926
RUS,Arkhangelsk,868.0619469017768,1164.2202460755398,896.3161985355698
RUS,Chukotka,2908.1727492271248,3128.387178670706,2922.986014143898
RUS,Kamchatka Krai,1875.6093189004373,2269.5254381250043,1935.9520312327486
RUS,Khanty-Mansi,896.2879222935651,1159.2545521077427,924.8163766506074
RUS,Komi Republic,900.025504271944,1316.9195303174033,944.9526145096614
RUS,Krasnoyarsk Krai,910.6956809662836,1187.631994054414,948.4012042727925
RUS,Magadan,1309.0823586418371,1708.6216707274284,1367.292588766254
RUS,Murmansk,1355.9163330188894,1811.5856152675492,1412.041104750779
RUS,Nenets,1407.589551568438,1780.1126671060065,1434.5090251663785
RUS,Sakha Republic,1222.9536125810714,1646.7122090997836,1261.5708662043623
RUS,Yamalo-Nenets,1269.8496072835992,1463.7737882119998,1287.768427196881
SWE,Norrbotten,2024.0857495729224,2656.3930093702666,2336.4727157440498
USA,Alaska,3100.141598247646,4625.018969431009,3482.2415012800607
